buildingID,officeID,T_mean,RH_mean,CO2_mean,VOC_mean,sound_mean,light_mean,light_col_mean,location
101,101b,23.743374902571603,40.33881527669532,,54.90958690568979,40.0257209664848,,,Denmark
101,101c,23.564886983632224,44.49236165237752,,177.8846453624318,39.87373343725643,,,Denmark
101,101d,22.840116959064265,44.27617933723201,,1473.2701754385964,41.20233918128655,,,Denmark
102,102a,23.166587864460144,44.503782505910216,,102.5311268715524,39.1591804570528,,,Denmark
102,102b,24.115186567164244,42.36149253731313,,135.2608208955224,39.85149253731343,,,Denmark
103,103a,25.22600370599137,21.470660901791184,,1051.6825200741198,38.99135268684373,317.86164298949967,3175.7831995058677,Denmark
103,103b,24.820814061054598,23.004902867715096,773.1796296296296,1730.327474560592,43.57354301572618,191.27104532839962,2994.236817761332,Denmark
103,103c,24.966882516188715,22.21221091581871,625.91280148423,1447.7779833487511,43.12118408880666,206.31822386679002,2552.340425531915,Denmark
103,103d,25.48981481481477,19.55333333333332,584.1280148423006,1789.9129629629629,44.012962962962966,151.25555555555556,2563.6574074074074,Denmark
103_E2021,103_E2021a,24.702529182879413,46.82548638132293,772.4708171206225,212.09338521400778,43.780155642023345,322.6459143968872,,Denmark
103_E2021,103_E2021b,24.449119373776885,46.4641878669276,714.9686888454012,1240.0,42.759295499021526,288.6849315068493,,Denmark
103_E2021,103_E2021c,24.232480314960583,47.734251968503926,741.3720472440945,946.3346456692914,45.30905511811024,179.90551181102362,,Denmark
104,104a,24.702529182879413,46.82548638132293,772.4708171206225,212.09338521400778,43.780155642023345,322.6459143968872,,Denmark
105,105a,23.45693593314773,28.51670380687097,808.0677808727949,140.4661095636026,41.760445682451255,663.22191272052,4185.089136490251,Denmark
301,301a,23.81825557809328,26.18240740740742,,1082.9351851851852,42.224074074074075,354.1074074074074,4341.37962962963,Denmark
301,301b,23.26777777777781,26.463434903047073,,1292.471837488458,41.388734995383196,412.0923361034164,2791.090489381348,Denmark
301,301c,24.135555555555538,26.544547134935268,,3927.9390018484287,41.92606284658041,200.9279112754159,2894.290203327172,Denmark
301_E2021,301_E2021a,23.758051689860856,45.00815109343942,652.5328031809145,394.62425447316105,43.49502982107356,319.713717693837,,Denmark
301_E2021,301_E2021b,23.587714285714277,45.811999999999976,719.44,1282.06,45.854285714285716,423.45714285714286,,Denmark
301_E2021,301_E2021c,23.80896130346234,46.35498981670062,685.162932790224,1535.9307535641549,43.0081466395112,304.16293279022403,,Denmark
301_E2021,301_E2021d,24.33900414937764,44.187966804979325,618.5601659751037,44.31742738589212,42.20331950207469,388.96,,Denmark
302,302a,24.367587939698485,36.0962311557789,823.707402010051,23997.40703517588,42.550251256281406,296.07035175879395,3153.314070351759,Denmark
302,302b,24.20426065162906,34.04962406015038,862.1138160774567,11122.2656641604,40.59899749373434,364.90225563909775,3586.466165413534,Denmark
302,302c,25.171464646464695,30.580555555555563,888.3686868686868,15748.093434343435,44.025252525252526,620.2575757575758,2833.8232323232323,Denmark
302,302d,24.681704260651596,32.20225563909781,1094.7865974874378,23737.67418546366,42.150375939849624,277.2681704260652,3429.2030075187968,Denmark
302,302e,24.681704260651596,32.20225563909781,1094.7865974874378,23737.67418546366,42.150375939849624,277.2681704260652,3429.2030075187968,Denmark
303,303a,23.82975970425141,21.595009242144204,629.4061224489795,559.0388170055453,41.05175600739371,184.2181146025878,3577.5841035120147,Denmark
303,303b,24.32500000000002,21.565740740740743,564.4222222222222,972.9074074074074,46.70185185185185,134.82962962962964,3097.8722222222223,Denmark
303,303c,24.443438077634074,21.12957486136787,609.5822550831793,1387.0850277264326,48.07024029574861,251.2162661737523,3250.6321626617373,Denmark
303,303d,23.78022181146025,21.73438077634011,606.615238095238,701.8096118299445,41.72273567467653,398.6395563770795,3635.4343807763403,Denmark
304,304a,25.639444444444475,18.56592592592594,886.1209829867674,2077.7722222222224,42.59444444444444,760.074074074074,,Denmark
304,304b,24.518923933209635,24.616326530612245,643.3450834879407,1655.2189239332097,41.10760667903525,572.9647495361781,4679.803339517625,Denmark
304,304c,25.13092592592598,20.651111111111113,723.56261682243,1493.6055555555556,41.15,417.7851851851852,4681.718518518518,Denmark
304,304d,25.947232472324725,19.04501845018449,624.1072088724584,1771.361623616236,40.78044280442804,509.34317343173433,4532.704797047971,Denmark
304,304e,23.437338262476878,22.237707948243994,684.8589981447125,717.8595194085028,40.04805914972273,1229.079482439926,5519.870609981515,Denmark
304,304f,24.371481481481453,22.90611111111109,601.35,1353.5277777777778,44.148148148148145,480.162962962963,4893.368518518519,Denmark
304,304g,24.30296296296296,22.85074074074075,706.8333333333334,2197.4574074074076,42.87777777777778,803.3,3919.035185185185,Denmark
305,305b,25.627024922118423,45.72079439252336,668.3826013513514,1138.3372274143303,41.55451713395639,621.8411214953271,4953.398753894081,Denmark
305,305c,26.092052469135812,46.12716049382713,965.0411622276029,1511.4405864197531,41.55246913580247,129.75462962962962,3393.849537037037,Denmark
305,305d,25.979662317728312,47.992785878741415,823.931643625192,1340.460475825019,39.187260168841135,370.77052954719875,5144.499616270145,Denmark
305,305e,25.64447022428464,49.03673627223516,798.7935034802784,1481.6852281515855,42.11678267594741,1087.647331786543,4765.61871616396,Denmark
305,305f,25.785023041474638,47.39539170506908,794.2939814814815,1455.0284178187403,42.555299539170505,54.666666666666664,1528.8548387096773,Denmark
305,305g,26.124673328209106,46.45203689469639,855.1470361816782,721.7171406610299,40.767870868562646,414.99308224442734,4524.27901614143,Denmark
