CO2_mean,RH_mean,T_mean,light_mean,sex,age,officeInterior,performanceOverall,Window Area,Construction year,Number of supply devices,Floor mopping frequency,talk,eyeWear
741.3720472440945,47.734251968503926,24.232480314960583,179.90551181102362,Male,3.0,shared,0,4.4,1972.0,0.0,0.0,True,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Female,4.0,withoutPartitions,1,11.5,1972.0,0.0,0.0,False,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Female,3.0,withoutPartitions,1,11.5,1972.0,0.0,0.0,False,Glasses_contacts
741.3720472440945,47.734251968503926,24.232480314960583,179.90551181102362,Female,3.0,shared,1,4.4,1972.0,0.0,0.0,False,Glasses_contacts
773.1796296296296,23.004902867715096,24.8208140610546,191.2710453283996,Female,2.0,withoutPartitions,1,10.2,1972.0,0.0,0.0,True,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Female,3.0,withoutPartitions,1,11.5,1972.0,0.0,0.0,False,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Female,4.0,withoutPartitions,1,11.5,1972.0,0.0,0.0,False,Glasses_contacts
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,Female,3.0,shared,1,7.6,1972.0,0.0,0.0,False,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Male,3.0,single,1,11.5,1972.0,0.0,0.0,False,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Female,2.0,withoutPartitions,0,11.5,1972.0,0.0,0.0,True,None
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,Male,3.0,single,0,7.6,1972.0,0.0,0.0,True,Glasses_contacts
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,Male,4.0,shared,1,7.6,1972.0,0.0,0.0,False,Glasses_contacts
700.9924599434496,26.45183329953097,23.99749536178119,365.91005801906334,Male,2.0,single,1,5.46,1986.0,0.0,5.0,False,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Male,4.0,shared,1,7.73,1986.0,0.0,5.0,False,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Male,1.0,shared,1,7.73,1986.0,0.0,5.0,False,Glasses_contacts
808.0677808727949,28.51670380687097,23.45693593314773,663.22191272052,Male,3.0,withoutPartitions,1,17.47,2009.0,0.0,3.0,False,Glasses_contacts
700.9924599434496,26.46343490304708,23.26777777777781,412.0923361034164,,4.0,withPartitions,1,19.2,1988.0,7.0,4.0,False,Glasses_contacts
685.162932790224,46.35498981670062,23.80896130346234,304.16293279022403,Male,4.0,withoutPartitions,0,9.7952,1988.0,0.0,4.0,False,Glasses_contacts
652.5328031809145,45.00815109343942,23.758051689860856,319.713717693837,Male,3.0,withoutPartitions,0,19.2,1988.0,0.0,4.0,True,Glasses_contacts
652.5328031809145,45.00815109343942,23.758051689860856,319.713717693837,Female,3.0,withoutPartitions,0,19.2,1988.0,0.0,4.0,True,Glasses_contacts
685.162932790224,46.35498981670062,23.80896130346234,304.16293279022403,Male,2.0,withPartitions,1,9.7952,1988.0,0.0,4.0,False,None
888.3686868686868,30.580555555555563,25.17146464646469,620.2575757575758,,0.0,shared,0,3.0,2008.0,0.0,0.0,False,Glasses_contacts
888.3686868686868,30.580555555555563,25.17146464646469,620.2575757575758,,0.0,shared,0,3.0,2008.0,0.0,0.0,False,None
823.707402010051,36.0962311557789,24.367587939698485,296.07035175879395,Male,2.0,shared,1,3.0,2008.0,0.0,0.0,False,Glasses_contacts
823.707402010051,36.0962311557789,24.367587939698485,296.07035175879395,Male,0.0,shared,1,3.0,2008.0,0.0,0.0,False,Glasses_contacts
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,Male,3.0,single,1,7.6,2019.0,1.0,5.0,False,Glasses_contacts
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,Female,1.0,withoutPartitions,1,19.0,2019.0,2.0,5.0,False,None
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,Male,1.0,shared,1,7.6,2019.0,1.0,5.0,True,Glasses_contacts
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,Male,2.0,shared,1,7.6,2019.0,1.0,5.0,True,
629.4061224489795,21.595009242144204,23.82975970425141,184.2181146025878,Female,3.0,shared,1,3.8,2019.0,1.0,5.0,False,Glasses_contacts
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,,4.0,shared,1,7.6,2019.0,1.0,5.0,False,Glasses_contacts
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,Male,2.0,shared,1,19.0,2019.0,2.0,5.0,False,Glasses_contacts
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,Female,0.0,shared,1,19.0,2019.0,2.0,5.0,True,Glasses_contacts
629.4061224489795,21.595009242144204,23.82975970425141,184.2181146025878,Male,4.0,single,1,3.8,2019.0,1.0,5.0,False,Glasses_contacts
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,Male,0.0,shared,1,7.6,2019.0,1.0,5.0,False,None
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,Male,1.0,shared,1,7.6,2019.0,1.0,5.0,False,None
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,Male,3.0,shared,1,19.0,2019.0,2.0,5.0,False,Glasses_contacts
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,Female,0.0,shared,1,19.0,2019.0,2.0,5.0,False,None
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,Male,0.0,shared,1,7.6,2019.0,1.0,5.0,False,Glasses_contacts
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,Female,3.0,shared,1,7.6,2019.0,1.0,5.0,False,Glasses_contacts
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,Female,2.0,shared,1,19.0,2019.0,2.0,5.0,True,Glasses_contacts
629.4061224489795,21.595009242144204,23.82975970425141,184.2181146025878,Male,0.0,shared,1,3.8,2019.0,1.0,5.0,False,None
601.35,22.90611111111109,24.371481481481453,480.162962962963,Male,3.0,shared,1,4.2,2014.0,0.0,4.0,False,Glasses_contacts
684.8589981447125,22.237707948244,23.43733826247688,1229.079482439926,Male,0.0,shared,1,4.2,2014.0,0.0,4.0,True,None
723.56261682243,20.65111111111112,25.13092592592598,417.7851851851852,Male,3.0,withoutPartitions,1,6.3,2014.0,0.0,4.0,False,Glasses_contacts
684.8589981447125,22.237707948244,23.43733826247688,1229.079482439926,Female,0.0,single,0,4.2,2014.0,0.0,4.0,True,Glasses_contacts
706.8333333333334,22.85074074074075,24.30296296296296,803.3,Female,2.0,single,1,6.2,2014.0,0.0,4.0,False,Glasses_contacts
643.3450834879407,24.616326530612245,24.518923933209635,572.9647495361781,Male,3.0,shared,0,5.3,2014.0,0.0,4.0,False,None
684.8589981447125,22.237707948244,23.43733826247688,1229.079482439926,Female,4.0,single,1,4.2,2014.0,0.0,4.0,True,Glasses_contacts
886.1209829867674,18.56592592592594,25.639444444444475,760.074074074074,Male,0.0,single,1,5.9,2014.0,0.0,4.0,False,None
643.3450834879407,24.616326530612245,24.518923933209635,572.9647495361781,Female,4.0,single,1,5.3,2014.0,0.0,4.0,False,Glasses_contacts
624.1072088724584,19.04501845018449,25.947232472324725,509.34317343173433,Male,4.0,single,1,3.6,2014.0,0.0,4.0,False,Glasses_contacts
706.8333333333334,22.85074074074075,24.30296296296296,803.3,Female,1.0,shared,0,6.2,2014.0,0.0,4.0,False,Glasses_contacts
706.8333333333334,22.85074074074075,24.30296296296296,803.3,Female,1.0,shared,0,6.2,2014.0,0.0,4.0,False,None
855.1470361816782,46.45203689469639,26.124673328209106,414.99308224442734,Male,3.0,single,1,1.2,1959.0,0.0,5.0,True,Glasses_contacts
915.2317262830484,48.6596923076923,25.47353846153851,97.81846153846152,Female,1.0,single,0,1.3,1959.0,0.0,5.0,True,Glasses_contacts
