CO2_mean,O1_constructionYear,O2_opWin,O2_winArea,O2_winShadePercentage,RH_mean,T_mean,light_mean,sound_mean,sex,age,job,contacts,officeInterior,hoursatdesk,outside,cleaningProd,noiseTelephones,lightTooDark,lightTooBright,lightFlicker,lightReflections,lightNoTask,symptabilitywork,office_volume,renovationYear,office_wallFinish,office_supplyAir,office_returnAir,outdoorCont_smokeGenerators,outdoorCont_heavyTraffic,floorMope,office_windowOrientation,viewGreenNature,suspendedCeiling,floorWood,lightLED,lightIncan,lightFlour,office_desklights,otherPlantWater,otherLounge,tech,talk,noiseExterior,winA_perVol
700.9924599434496,1988.0,50.0,19.2,100.0,26.46343490304708,23.26777777777781,412.0923361034164,41.3887349953832,,4.0,Administrative,Glasses_contacts,withPartitions,1.0,False,False,False,False,False,False,False,False,0,397.25,0,paintWallboard,ventCeilDif,ventReturnOther,False,True,4.0,South,True,True,False,False,False,True,1,True,False,False,False,False,0.04833228445563247
685.162932790224,1988.0,0.0,9.7952,0.0,46.35498981670062,23.80896130346234,304.16293279022403,43.0081466395112,Male,4.0,Managerial,Glasses_contacts,withoutPartitions,1.0,False,False,False,False,False,False,False,False,1,314.98854879999993,2,,ventCeilDif,ventNoReturn,False,False,4.0,Southeast,True,True,False,False,False,True,1,True,False,False,False,False,0.03109700348573434
652.5328031809145,1988.0,0.0,19.2,0.0,45.00815109343942,23.758051689860856,319.713717693837,43.49502982107356,,4.0,Managerial,Glasses_contacts,withoutPartitions,2.0,False,False,False,False,False,False,False,False,0,32.5,2,paintWallboard,ventCeilDif,ventNoReturn,False,False,4.0,East,False,True,False,False,False,True,3,True,False,False,False,False,0.5907692307692307
618.5601659751037,1988.0,0.0,1.5,0.0,44.187966804979325,24.33900414937764,388.96,42.20331950207469,Male,3.0,Managerial,Glasses_contacts,single,1.0,True,False,False,False,False,False,False,False,0,32.5,2,,ventCeilDif,ventNoReturn,False,False,4.0,North,False,True,False,False,False,True,0,False,True,False,False,False,0.046153846153846156
652.5328031809145,1988.0,0.0,19.2,0.0,45.00815109343942,23.758051689860856,319.713717693837,43.49502982107356,Male,3.0,Technical,Glasses_contacts,withoutPartitions,2.0,False,False,False,False,True,False,False,False,1,32.5,2,paintWallboard,ventCeilDif,ventNoReturn,False,False,4.0,East,False,True,False,False,False,True,3,True,False,False,True,False,0.5907692307692307
652.5328031809145,1988.0,0.0,19.2,0.0,45.00815109343942,23.758051689860856,319.713717693837,43.49502982107356,Female,3.0,Administrative,Glasses_contacts,withoutPartitions,2.0,False,False,True,False,False,False,False,False,1,32.5,2,paintWallboard,ventCeilDif,ventNoReturn,False,False,4.0,East,False,True,False,False,False,True,3,True,False,False,True,False,0.5907692307692307
685.162932790224,1988.0,0.0,9.7952,0.0,46.35498981670062,23.80896130346234,304.16293279022403,43.0081466395112,Male,2.0,Managerial,None,withPartitions,1.0,False,False,False,False,False,False,False,False,0,314.98854879999993,2,,ventCeilDif,ventNoReturn,False,False,4.0,Southeast,True,True,False,False,False,True,1,True,False,False,False,False,0.03109700348573434
888.3686868686868,2008.0,100.0,3.0,100.0,30.580555555555563,25.17146464646469,620.2575757575758,44.025252525252526,,0.0,Professional,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,1,39.5,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,0.0,Northeast,False,True,False,True,False,False,0,False,True,False,False,False,0.0759493670886076
888.3686868686868,2008.0,100.0,3.0,100.0,30.580555555555563,25.17146464646469,620.2575757575758,44.025252525252526,,0.0,Professional,None,shared,2.0,False,False,False,False,False,False,False,False,0,39.5,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,0.0,Northeast,False,True,False,True,False,False,0,False,True,False,False,False,0.0759493670886076
823.707402010051,2008.0,100.0,3.0,100.0,36.0962311557789,24.367587939698485,296.07035175879395,42.550251256281406,Male,2.0,Technical,Glasses_contacts,shared,2.0,False,False,False,False,False,False,True,False,0,50.5,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,0.0,Southwest,False,True,False,True,False,False,0,False,False,False,False,False,0.0594059405940594
823.707402010051,2008.0,100.0,3.0,100.0,36.0962311557789,24.367587939698485,296.07035175879395,42.550251256281406,Male,0.0,Professional,Glasses_contacts,shared,2.0,False,False,False,False,False,False,True,False,0,50.5,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,0.0,Southwest,False,True,False,True,False,False,0,False,False,False,False,False,0.0594059405940594
564.4222222222222,2019.0,26.0,7.6,0.0,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,Male,3.0,Managerial,Glasses_contacts,single,2.0,False,False,False,False,False,False,False,False,1,77.49000000000001,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,2,True,False,False,False,False,0.09807717124790294
606.615238095238,2019.0,26.0,19.0,100.0,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,1.0,Managerial,None,withoutPartitions,2.0,True,False,False,False,False,False,False,False,0,102.6,0,paintWallboard,ventPerfCeiling,,False,True,5.0,Northwest,True,True,False,True,False,False,3,True,False,False,False,False,0.1851851851851852
609.5822550831793,2019.0,26.0,7.6,100.0,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,1.0,Technical,Glasses_contacts,shared,2.0,False,False,True,False,False,False,False,False,1,76.68,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,1,True,False,False,True,False,0.09911319770474698
564.4222222222222,2019.0,26.0,7.6,0.0,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,Male,2.0,Technical,,shared,2.0,False,False,False,False,False,False,False,False,1,77.49000000000001,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,2,True,False,False,True,False,0.09807717124790294
629.4061224489795,2019.0,26.0,3.8,100.0,21.595009242144204,23.82975970425141,184.2181146025878,41.05175600739371,Female,3.0,Administrative,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,1,37.260000000000005,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,East,False,True,False,True,False,False,4,True,True,False,False,False,0.1019860440150295
564.4222222222222,2019.0,26.0,7.6,0.0,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,,4.0,Technical,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,0,77.49000000000001,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,2,True,False,False,False,False,0.09807717124790294
606.615238095238,2019.0,26.0,19.0,100.0,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Male,2.0,,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,0,102.6,0,paintWallboard,ventPerfCeiling,,False,True,5.0,Northwest,True,True,False,True,False,False,3,True,False,False,False,False,0.1851851851851852
606.615238095238,2019.0,26.0,19.0,100.0,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,0.0,Administrative,Glasses_contacts,shared,2.0,False,False,True,False,True,False,True,False,1,102.6,0,paintWallboard,ventPerfCeiling,,False,True,5.0,Northwest,True,True,False,True,False,False,3,True,False,False,True,False,0.1851851851851852
629.4061224489795,2019.0,26.0,3.8,100.0,21.595009242144204,23.82975970425141,184.2181146025878,41.05175600739371,Male,4.0,,Glasses_contacts,single,2.0,False,False,False,False,False,False,False,False,0,37.260000000000005,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,East,False,True,False,True,False,False,4,True,True,False,False,False,0.1019860440150295
