CO2_mean,sex,age,s1_better,Construction year
480.6980952380952,Female,2.0,0,1963.0
480.6980952380952,Female,2.0,1,1963.0
576.187866927593,Female,3.0,1,1963.0
576.187866927593,Female,3.0,0,1963.0
531.02634467618,Female,3.0,0,1963.0
480.6980952380952,Male,0.0,0,1963.0
506.5978835978836,Female,4.0,0,1963.0
480.6980952380952,Female,3.0,0,1963.0
977.7389748201437,Male,4.0,0,1990.0
954.179540636041,Female,0.0,1,1990.0
908.9140138408308,Female,1.0,1,1990.0
954.179540636041,Female,1.0,0,1990.0
977.7389748201437,Male,3.0,1,1990.0
925.6856506849316,Female,0.0,1,1990.0
925.6856506849316,,0.0,1,1990.0
977.7389748201437,Male,0.0,1,1990.0
844.4010139860138,Male,4.0,0,1990.0
977.7389748201437,Female,2.0,1,1990.0
925.6856506849316,Female,2.0,0,1990.0
908.9140138408308,Female,1.0,0,1990.0
617.7592119565218,Male,2.0,0,1994.0
809.8974462365592,Male,4.0,0,1994.0
661.1246893638171,Male,4.0,0,1994.0
661.1246893638171,Female,2.0,1,1994.0
661.1246893638171,Male,3.0,0,1994.0
661.1246893638171,Female,3.0,1,1994.0
617.7592119565218,Male,2.0,0,1994.0
617.7592119565218,Male,0.0,1,1994.0
617.7592119565218,Male,3.0,0,1994.0
661.1246893638171,Male,3.0,0,1994.0
656.1567105263157,Male,0.0,0,1983.0
748.8005628517832,Male,3.0,0,1983.0
656.1567105263157,Male,3.0,0,1983.0
656.1567105263157,Female,1.0,1,1983.0
1165.1538122605368,Female,1.0,0,1994.0
1165.1538122605368,Male,0.0,0,1994.0
780.4915076335889,Female,1.0,0,1994.0
780.4915076335889,Female,2.0,1,1994.0
850.5679245283011,Male,2.0,0,1994.0
1255.3431499051242,Male,2.0,0,1994.0
1165.1538122605368,Female,0.0,0,1994.0
1255.3431499051242,Male,2.0,0,1994.0
1255.3431499051242,Female,3.0,0,1994.0
780.4915076335889,Male,0.0,0,1994.0
885.5085370994941,Male,3.0,0,1980.0
720.1462877516778,Female,4.0,1,1980.0
503.2570382882883,Male,1.0,0,2003.0
479.2379591454273,Female,1.0,0,2003.0
479.2379591454273,Male,1.0,0,2003.0
509.4986392642643,Male,0.0,0,2003.0
479.2379591454273,Female,0.0,0,2003.0
509.4986392642643,Female,2.0,0,2003.0
632.7636318897638,Male,1.0,0,1970.0
697.6933127980922,Male,3.0,0,1970.0
697.6933127980922,Male,4.0,0,1970.0
705.2156299524564,Female,1.0,1,1970.0
960.9466497747748,Female,0.0,0,2001.0
960.9466497747748,Female,2.0,0,2001.0
960.9466497747748,Male,3.0,0,2001.0
1085.1134572072071,Female,0.0,0,2001.0
1085.1134572072071,Female,0.0,1,2001.0
532.785203313253,,2.0,1,1980.0
515.1016791044776,Male,4.0,0,1980.0
676.2159360189573,Female,0.0,0,1983.0
647.9315707620528,,1.0,0,2000.0
647.9315707620528,Female,1.0,1,2000.0
577.6227876106195,Male,3.0,0,1985.0
1613.1595,Female,0.0,1,1985.0
1613.1595,Male,1.0,1,1985.0
1613.1595,Female,1.0,0,1985.0
635.4672330097087,Female,0.0,0,1990.0
635.4672330097087,Female,2.0,0,1990.0
635.4672330097087,Female,3.0,0,1990.0
700.9924599434496,Female,4.0,0,1990.0
635.4672330097087,Female,3.0,0,1990.0
635.4672330097087,,2.0,0,1990.0
700.9924599434496,Male,1.0,0,1930.0
700.9924599434496,Female,0.0,0,1930.0
470.1211949685521,Male,1.0,0,2015.0
580.7674352134146,Male,1.0,0,2004.0
741.0300304878043,Male,0.0,0,2015.0
528.8330757341577,Male,1.0,0,2004.0
741.0300304878043,Male,1.0,0,2015.0
528.8330757341577,Male,2.0,0,2004.0
741.0300304878043,,3.0,0,2015.0
580.7674352134146,Male,3.0,0,2004.0
741.0300304878043,Male,3.0,0,2015.0
580.7674352134146,Male,4.0,0,2004.0
930.7130496742672,Male,0.0,1,1960.0
930.7130496742672,Female,1.0,0,1960.0
736.9197899505766,Male,3.0,0,2015.0
748.9925203252025,Male,2.0,0,1960.0
748.9925203252025,Female,0.0,1,1960.0
