buildingID,O1_airHeatEl,O1_airHeatWater,O1_cavityInsulation,O1_centralCooling,O1_constructionYear,O1_exhaust,O1_exhaustSupply,O1_exhaustSupplyHeat,O1_extWallBrick,O1_extWallConcrete,O1_extWallWood,O1_exteriorInsulation,O1_facadeAsbest,O1_facadeBrick,O1_facadeConcrete,O1_facadeWood,O1_floorHeat,O1_individualCooling,O1_insulationOther,O1_intWallBrick,O1_intWallConcrete,O1_intWallGypsum,O1_intWallWood,O1_interiorInsulation,O1_natVentAut,O1_natVentman,O1_noCooling,O1_radiators,O1_renovationYear,O1rur_agr,O1rur_com,O1rur_ind,O1rur_nurb,O1suburb_com,O1suburb_indus,O1suburb_res,O1urb_com,O1urb_indus,O1urb_res,O2_constructionActivities,O2_emergencyGenerators,O2_garbageDumpsters,O2_heavyTraffic,O2_noOutdoorContSources,O2_powerPlants,O2_smokeStack,O3_deskWash,O3_envMat,O3_floorMope,O3_floorVacuum,O3_winWash,OO_buildingID,OO_buildingTypology,officeID,O2_windowOrientation,O2_floorArea,O2_ceilHeight,O2_officeType,O2_noWorkstations,O2_noOccupiedWorkstations,O2_noWinExt,O2_noOpWin,O2_viewGreenNature,O2_winArea,O2_viewRoadParking,O2_opWin,O2_winShades,O2_winShadePercentage,O2_crackWinPaint,O2_viewOtherBuildings,O2_paintWallboard,O2_paintDetachWidth,O2_paintDetachHeight,O2_fabric,O2_metal,O2_wallpaper,O2_otherWallCov,O2_otherWallCovComment,O2_woodPanels,O2_wallMoistureWidth,O2_wallMoistureHeight,O2_wallMouldWidth,O2_wallMouldHeight,O2_suspendedCeiling,O2_suspendedCeilingComment,O2_ceilingFabric,O2_ceilingMetal,O2_ceilingConcrete,O2_ceilingBoards,O2_ceilingWoodPanels,O2_ceilingMoistureWidth,O2_ceilingMoistureHeight,O2_ceilingMouldWidth,O2_ceilingMouldHeight,O2_otherCeiling,O2_otherCeilingComment,O2_floorCarpet,O2_floorPlastic,O2_floorWood,O2_floorConcrete,O2_floorDetachWidth,O2_floorDetachHeight,O2_floorDiscolorHeight,O2_floorDiscolorWidth,O2_floorScratchHeight,O2_floorScratchWidth,O2_lightLED,O2_lightIncan,O2_lightFlour,O2_desklight,O2_noSupplyDevices,O2_ventWallGrill,O2_ventLinCeilDif,O2_ventLowFloorGrill,O2_ventLuminaires,O2_ventSideWallDif,O2_ventPerfCeiling,O2_ventFloorReg,O2_ventFloorDif,O2_ventFancoil,O2_ventRoundDif,O2_ventOther,O2_ventNoSupply,O2_noReturnDevices,O2_ventReturnCeilGrill,O2_ventReturnCeilSlot,O2_ventReturnSlotsLum,O2_ventReturnFloorGrill,O2_ventReturnSideGrill,O2_ventReturnOther,O2_ventNoReturn,O2_noSpaceHeaters,O2_noSpaceHeatersInUse,O2_otherGreenPlants,O2_otherArt,O2_otherWallColor,O2_otherWaterEl,O2_otherLounge,O2_otherOther,O2_noHumidifiersInUse,O2_noDehumidifiersInUse,O2_noDeskfansInUse
301,False,False,False,True,1988.0,False,True,False,False,True,False,False,False,True,True,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,onceWeek,301,0,301b,South,158.9,2.5,openPartitions,14.0,1.0,12,6.0,True,19.2,True,50.0,Exterior inclined overhang,100.0,no,False,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,True,False,False,,,,,,,False,False,True,<50%,7,False,True,False,False,False,False,False,False,False,False,False,False,Unknown,False,False,False,False,False,True,False,12,0,True,False,False,False,False,False,,,
301,False,False,False,True,1988.0,False,True,False,False,True,False,False,False,True,True,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,onceWeek,301,0,301c,Northeast,133.2,2.4,openPartitions,15.0,3.0,26,13.0,False,21.8,False,,,100.0,no,False,True,,,False,False,False,False,,False,,,,,True,Acoustic suspended ceiling,False,False,False,False,False,,,,,False,,True,True,False,False,,,,,,,False,False,True,<50%,5,False,True,False,False,False,False,False,False,False,False,False,False,Unknown,False,False,False,False,False,False,False,13,13,True,False,False,False,False,False,,,
302,False,False,True,False,2008.0,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,False,True,False,False,False,True,False,True,None,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2-4,none,never,2-4,2-4,302,0,302a,Southwest,20.2,2.5,shared,2.0,2.0,3,3.0,False,3.0,True,100.0,Blinds + overhang,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,none,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,2,2,False,False,False,False,False,False,,,
302,False,False,True,False,2008.0,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,False,True,False,False,False,True,False,True,None,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2-4,none,never,2-4,2-4,302,0,302b,Southwest,13.6,2.5,single,1.0,1.0,2,2.0,False,2.0,True,100.0,Blinds+overhang,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,none,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,1,1,False,False,False,False,False,False,,,
302,False,False,True,False,2008.0,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,False,True,False,False,False,True,False,True,None,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2-4,none,never,2-4,2-4,302,0,302c,Northeast,15.8,2.5,shared,2.0,2.0,3,3.0,False,3.0,True,100.0,Blinds + overhang,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,none,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,1,0,False,False,False,False,True,False,,,
302,False,False,True,False,2008.0,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,False,True,False,False,False,True,False,True,None,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2-4,none,never,2-4,2-4,302,0,302d,Northeast,70.0,2.5,openNoPartitions,4.0,1.0,5,5.0,False,5.0,False,100.0,Blinds + overhang,100.0,no,False,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,none,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,3,3,True,True,False,False,True,False,,,
302,False,False,True,False,2008.0,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,False,True,False,False,False,True,False,True,None,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2-4,none,never,2-4,2-4,302,0,302e,Southwest,13.6,2.5,single,1.0,1.0,2,2.0,False,2.0,False,100.0,Blinds and overhang,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,none,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,1,1,True,True,False,False,True,False,,,
303,False,False,False,False,2019.0,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,2-4,1,2-4,2-4,2-4,303,0,303a,East,13.8,2.7,single,1.0,1.0,1,1.0,False,3.8,False,26.0,Curtains,100.0,no,False,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,all,1,False,False,False,False,False,True,False,False,False,False,False,False,1,False,False,False,False,False,True,False,1,1,True,False,True,False,True,False,,,
303,False,False,False,False,2019.0,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,2-4,1,2-4,2-4,2-4,303,0,303b,West,28.7,2.7,shared,4.0,2.0,2,2.0,True,7.6,True,26.0,Curtains,0.0,no,False,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,0.5,1,False,False,False,False,False,True,False,False,False,False,False,False,1,False,False,False,False,False,True,False,2,2,True,False,True,False,False,False,,,
303,False,False,False,False,2019.0,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,2-4,1,2-4,2-4,2-4,303,0,303c,West,28.4,2.7,shared,4.0,4.0,2,2.0,True,7.6,True,26.0,Curtains,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,<50%,1,False,False,False,False,False,True,False,False,False,False,False,False,1,False,False,False,False,False,True,False,2,2,True,False,True,False,False,False,,,
