CO2_mean,RH_mean,T_mean,light_mean,sound_mean,sex,indoorClimate,Window Area,Office volume,Number of supply devices,Floor mopping frequency,viewGreenNature,talk
741.3720472440945,47.734251968503926,24.232480314960583,179.90551181102362,45.30905511811024,Male,0.0,4.4,55.0,0.0,0.0,False,True
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,43.78015564202335,Female,0.0,11.5,225.0,0.0,0.0,False,False
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,43.78015564202335,Female,1.0,11.5,225.0,0.0,0.0,False,False
741.3720472440945,47.734251968503926,24.232480314960583,179.90551181102362,45.30905511811024,Female,1.0,4.4,55.0,0.0,0.0,False,False
773.1796296296296,23.004902867715096,24.8208140610546,191.2710453283996,43.57354301572618,Female,1.0,10.2,110.0,0.0,0.0,False,True
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,38.99135268684373,Female,0.0,11.5,225.5,0.0,0.0,True,False
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,38.99135268684373,Female,0.0,11.5,225.5,0.0,0.0,True,False
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,43.12118408880666,Female,0.0,7.6,91.925,0.0,0.0,False,False
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,38.99135268684373,Male,1.0,11.5,225.5,0.0,0.0,True,False
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,38.99135268684373,Female,0.0,11.5,225.5,0.0,0.0,True,True
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,43.12118408880666,Male,0.0,7.6,91.925,0.0,0.0,False,True
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,43.12118408880666,Male,1.0,7.6,91.925,0.0,0.0,False,False
700.9924599434496,26.45183329953097,23.99749536178119,365.91005801906334,41.96455223880597,Male,1.0,5.46,121.818,0.0,5.0,False,False
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,43.78015564202335,Male,1.0,7.73,171.496836,0.0,5.0,False,False
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,43.78015564202335,Male,0.0,7.73,171.496836,0.0,5.0,False,False
808.0677808727949,28.51670380687097,23.45693593314773,663.22191272052,41.760445682451255,Male,0.0,17.47,302.8,0.0,3.0,False,False
700.9924599434496,26.46343490304708,23.26777777777781,412.0923361034164,41.3887349953832,,1.0,19.2,397.25,7.0,4.0,True,False
685.162932790224,46.35498981670062,23.80896130346234,304.16293279022403,43.0081466395112,Male,0.0,9.7952,314.98854879999993,0.0,4.0,True,False
652.5328031809145,45.00815109343942,23.758051689860856,319.713717693837,43.49502982107356,Male,0.0,19.2,32.5,0.0,4.0,False,True
652.5328031809145,45.00815109343942,23.758051689860856,319.713717693837,43.49502982107356,Female,0.0,19.2,32.5,0.0,4.0,False,True
888.3686868686868,30.580555555555563,25.17146464646469,620.2575757575758,44.025252525252526,,0.0,3.0,39.5,0.0,0.0,False,False
888.3686868686868,30.580555555555563,25.17146464646469,620.2575757575758,44.025252525252526,,0.0,3.0,39.5,0.0,0.0,False,False
823.707402010051,36.0962311557789,24.367587939698485,296.07035175879395,42.550251256281406,Male,1.0,3.0,50.5,0.0,0.0,False,False
823.707402010051,36.0962311557789,24.367587939698485,296.07035175879395,42.550251256281406,Male,1.0,3.0,50.5,0.0,0.0,False,False
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,Male,1.0,7.6,77.49000000000001,1.0,5.0,True,False
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,1.0,19.0,102.6,2.0,5.0,True,False
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,1.0,7.6,76.68,1.0,5.0,True,True
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,Male,1.0,7.6,77.49000000000001,1.0,5.0,True,True
629.4061224489795,21.595009242144204,23.82975970425141,184.2181146025878,41.05175600739371,Female,0.0,3.8,37.260000000000005,1.0,5.0,False,False
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,,1.0,7.6,77.49000000000001,1.0,5.0,True,False
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Male,1.0,19.0,102.6,2.0,5.0,True,False
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,1.0,19.0,102.6,2.0,5.0,True,True
629.4061224489795,21.595009242144204,23.82975970425141,184.2181146025878,41.05175600739371,Male,1.0,3.8,37.260000000000005,1.0,5.0,False,False
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,0.0,7.6,76.68,1.0,5.0,True,False
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,1.0,7.6,76.68,1.0,5.0,True,False
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Male,1.0,19.0,102.6,2.0,5.0,True,False
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,1.0,19.0,102.6,2.0,5.0,True,False
609.5822550831793,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,1.0,7.6,76.68,1.0,5.0,True,False
564.4222222222222,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,Female,1.0,7.6,77.49000000000001,1.0,5.0,True,False
606.615238095238,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,1.0,19.0,102.6,2.0,5.0,True,True
629.4061224489795,21.595009242144204,23.82975970425141,184.2181146025878,41.05175600739371,Male,1.0,3.8,37.260000000000005,1.0,5.0,False,False
601.35,22.90611111111109,24.371481481481453,480.162962962963,44.14814814814815,Male,0.0,4.2,34.2,0.0,4.0,True,False
684.8589981447125,22.237707948244,23.43733826247688,1229.079482439926,40.04805914972273,Male,1.0,4.2,34.2,0.0,4.0,True,True
723.56261682243,20.65111111111112,25.13092592592598,417.7851851851852,41.15,Male,0.0,6.3,67.5,0.0,4.0,True,False
684.8589981447125,22.237707948244,23.43733826247688,1229.079482439926,40.04805914972273,Female,1.0,4.2,34.2,0.0,4.0,True,True
706.8333333333334,22.85074074074075,24.30296296296296,803.3,42.87777777777778,Female,1.0,6.2,51.6,0.0,4.0,True,False
643.3450834879407,24.616326530612245,24.518923933209635,572.9647495361781,41.10760667903525,Male,0.0,5.3,46.98,0.0,4.0,True,False
684.8589981447125,22.237707948244,23.43733826247688,1229.079482439926,40.04805914972273,Female,1.0,4.2,34.2,0.0,4.0,True,True
886.1209829867674,18.56592592592594,25.639444444444475,760.074074074074,42.59444444444444,Male,1.0,5.9,50.49,0.0,4.0,True,False
643.3450834879407,24.616326530612245,24.518923933209635,572.9647495361781,41.10760667903525,Female,0.0,5.3,46.98,0.0,4.0,True,False
624.1072088724584,19.04501845018449,25.947232472324725,509.34317343173433,40.78044280442804,Male,0.0,3.6,30.24,0.0,4.0,True,False
