CO2_mean,RH_mean,T_mean,light_mean,sex,s0_better,Office volume,eyeWear
741.3720472440945,47.734251968503926,24.232480314960583,179.90551181102362,Male,0,55.0,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Female,0,225.0,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Female,0,225.0,Glasses_contacts
741.3720472440945,47.734251968503926,24.232480314960583,179.90551181102362,Female,0,55.0,Glasses_contacts
773.1796296296296,23.004902867715096,24.8208140610546,191.2710453283996,Female,0,110.0,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Female,0,225.5,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Female,0,225.5,None
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Female,0,225.5,Glasses_contacts
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,Female,0,91.925,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Male,0,225.5,Glasses_contacts
700.9924599434496,21.470660901791184,25.22600370599137,317.86164298949967,Female,1,225.5,None
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,Male,0,91.925,Glasses_contacts
625.91280148423,22.21221091581871,24.966882516188715,206.31822386679,Male,0,91.925,Glasses_contacts
700.9924599434496,26.45183329953097,23.99749536178119,365.91005801906334,Male,0,121.818,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Male,0,171.496836,Glasses_contacts
772.4708171206225,46.82548638132293,24.702529182879413,322.6459143968872,Male,0,171.496836,Glasses_contacts
808.0677808727949,28.51670380687097,23.45693593314773,663.22191272052,Male,0,302.8,Glasses_contacts
700.9924599434496,26.46343490304708,23.26777777777781,412.0923361034164,,0,397.25,Glasses_contacts
685.162932790224,46.35498981670062,23.80896130346234,304.16293279022403,Male,0,314.98854879999993,Glasses_contacts
652.5328031809145,45.00815109343942,23.758051689860856,319.713717693837,,0,32.5,Glasses_contacts
618.5601659751037,44.187966804979325,24.33900414937764,388.96,Male,0,32.5,Glasses_contacts
652.5328031809145,45.00815109343942,23.758051689860856,319.713717693837,Male,1,32.5,Glasses_contacts
652.5328031809145,45.00815109343942,23.758051689860856,319.713717693837,Female,0,32.5,Glasses_contacts
685.162932790224,46.35498981670062,23.80896130346234,304.16293279022403,Male,0,314.98854879999993,None
888.3686868686868,30.580555555555563,25.17146464646469,620.2575757575758,,0,39.5,Glasses_contacts
888.3686868686868,30.580555555555563,25.17146464646469,620.2575757575758,,0,39.5,None
823.707402010051,36.0962311557789,24.367587939698485,296.07035175879395,Male,0,50.5,Glasses_contacts
823.707402010051,36.0962311557789,24.367587939698485,296.07035175879395,Male,0,50.5,Glasses_contacts
