CO2_mean,light_mean,sound_mean,sex,age,noiseOfficeEquipment,noiseTelephones,s7_better,Construction year,talk,noiseExterior
741.3720472440945,179.90551181102362,45.30905511811024,Male,3.0,False,False,1,1972.0,True,False
772.4708171206225,322.6459143968872,43.78015564202335,Female,4.0,False,False,0,1972.0,False,False
772.4708171206225,322.6459143968872,43.78015564202335,Female,3.0,False,False,0,1972.0,False,False
741.3720472440945,179.90551181102362,45.30905511811024,Female,3.0,False,False,0,1972.0,False,False
773.1796296296296,191.2710453283996,43.57354301572618,Female,2.0,False,False,0,1972.0,True,False
700.9924599434496,317.86164298949967,38.99135268684373,Female,3.0,False,False,0,1972.0,False,False
700.9924599434496,317.86164298949967,38.99135268684373,Female,2.0,False,False,0,1972.0,False,False
700.9924599434496,317.86164298949967,38.99135268684373,Female,4.0,False,False,0,1972.0,False,False
625.91280148423,206.31822386679,43.12118408880666,Female,3.0,False,False,0,1972.0,False,False
700.9924599434496,317.86164298949967,38.99135268684373,Male,3.0,False,False,0,1972.0,False,False
700.9924599434496,317.86164298949967,38.99135268684373,Female,2.0,False,True,0,1972.0,True,False
625.91280148423,206.31822386679,43.12118408880666,Male,3.0,False,True,1,1972.0,True,False
625.91280148423,206.31822386679,43.12118408880666,Male,4.0,False,False,0,1972.0,False,False
700.9924599434496,365.91005801906334,41.96455223880597,Male,2.0,False,False,0,1986.0,False,False
772.4708171206225,322.6459143968872,43.78015564202335,Male,4.0,False,False,0,1986.0,False,False
772.4708171206225,322.6459143968872,43.78015564202335,Male,1.0,False,False,1,1986.0,False,False
808.0677808727949,663.22191272052,41.760445682451255,Male,3.0,False,False,0,2009.0,False,False
700.9924599434496,412.0923361034164,41.3887349953832,,4.0,False,False,0,1988.0,False,False
685.162932790224,304.16293279022403,43.0081466395112,Male,4.0,False,False,0,1988.0,False,False
652.5328031809145,319.713717693837,43.49502982107356,,4.0,False,False,0,1988.0,False,False
618.5601659751037,388.96,42.20331950207469,Male,3.0,False,False,0,1988.0,False,False
652.5328031809145,319.713717693837,43.49502982107356,Male,3.0,False,False,1,1988.0,True,False
652.5328031809145,319.713717693837,43.49502982107356,Female,3.0,False,True,0,1988.0,True,False
685.162932790224,304.16293279022403,43.0081466395112,Male,2.0,False,False,0,1988.0,False,False
888.3686868686868,620.2575757575758,44.025252525252526,,0.0,False,False,0,2008.0,False,False
888.3686868686868,620.2575757575758,44.025252525252526,,0.0,False,False,0,2008.0,False,False
823.707402010051,296.07035175879395,42.550251256281406,Male,2.0,False,False,0,2008.0,False,False
823.707402010051,296.07035175879395,42.550251256281406,Male,0.0,False,False,0,2008.0,False,False
564.4222222222222,134.82962962962964,46.70185185185185,Male,3.0,False,False,0,2019.0,False,False
606.615238095238,398.6395563770795,41.72273567467653,Female,1.0,False,False,0,2019.0,False,False
609.5822550831793,251.2162661737523,48.07024029574861,Male,1.0,False,True,1,2019.0,True,False
564.4222222222222,134.82962962962964,46.70185185185185,Male,2.0,False,False,0,2019.0,True,False
629.4061224489795,184.2181146025878,41.05175600739371,Female,3.0,False,False,0,2019.0,False,False
564.4222222222222,134.82962962962964,46.70185185185185,,4.0,False,False,0,2019.0,False,False
606.615238095238,398.6395563770795,41.72273567467653,Male,2.0,False,False,0,2019.0,False,False
606.615238095238,398.6395563770795,41.72273567467653,Female,0.0,False,True,1,2019.0,True,False
629.4061224489795,184.2181146025878,41.05175600739371,Male,4.0,False,False,0,2019.0,False,False
609.5822550831793,251.2162661737523,48.07024029574861,Male,0.0,False,False,0,2019.0,False,False
609.5822550831793,251.2162661737523,48.07024029574861,Male,1.0,False,False,0,2019.0,False,False
606.615238095238,398.6395563770795,41.72273567467653,Male,3.0,False,False,0,2019.0,False,False
606.615238095238,398.6395563770795,41.72273567467653,Female,0.0,False,False,0,2019.0,False,False
609.5822550831793,251.2162661737523,48.07024029574861,Male,0.0,False,False,0,2019.0,False,False
564.4222222222222,134.82962962962964,46.70185185185185,Female,3.0,False,False,0,2019.0,False,False
606.615238095238,398.6395563770795,41.72273567467653,Female,2.0,False,True,0,2019.0,True,False
629.4061224489795,184.2181146025878,41.05175600739371,Male,0.0,False,False,0,2019.0,False,False
601.35,480.162962962963,44.14814814814815,Male,3.0,False,False,0,2014.0,False,False
684.8589981447125,1229.079482439926,40.04805914972273,Male,0.0,False,False,0,2014.0,True,True
723.56261682243,417.7851851851852,41.15,Male,3.0,False,False,0,2014.0,False,False
684.8589981447125,1229.079482439926,40.04805914972273,Female,0.0,False,True,1,2014.0,True,False
706.8333333333334,803.3,42.87777777777778,Female,2.0,False,False,0,2014.0,False,False
643.3450834879407,572.9647495361781,41.10760667903525,Male,3.0,False,False,0,2014.0,False,False
684.8589981447125,1229.079482439926,40.04805914972273,Female,4.0,False,False,0,2014.0,True,True
886.1209829867674,760.074074074074,42.59444444444444,Male,0.0,False,False,0,2014.0,False,False
643.3450834879407,572.9647495361781,41.10760667903525,Female,4.0,False,False,0,2014.0,False,False
624.1072088724584,509.34317343173433,40.78044280442804,Male,4.0,False,False,0,2014.0,False,False
706.8333333333334,803.3,42.87777777777778,Female,1.0,False,False,0,2014.0,False,False
706.8333333333334,803.3,42.87777777777778,Female,1.0,False,False,0,2014.0,False,False
706.8333333333334,803.3,42.87777777777778,Female,1.0,False,False,0,2014.0,False,False
706.8333333333334,803.3,42.87777777777778,Female,1.0,False,False,0,2014.0,False,False
855.1470361816782,414.99308224442734,40.767870868562646,Male,3.0,False,False,0,1959.0,True,False
915.2317262830484,97.81846153846152,42.02692307692308,Female,1.0,True,False,1,1959.0,True,True
