building,sex,age,job,contacts,smoker,distToWindow,windowOrientation,officeInterior,personsInOffice,hoursatdesk,photocopier,outside,perfume,food,tobaccoSmoke,printer,carpet,cleaningProd,noiseTraffic,noiseOverhearing,noiseOfficeEquipment,noiseTelephones,noisePhoneTalk,noiseNeighborTalk,noisemechanical,lightTooDark,lightTooBright,lightTooLittleDaylight,lightTooMuchDaylight,lightFlicker,lightReflections,lightColor,lightNoTask,symptabilitywork,symptstayhome,performanceOverall,indoorClimate,officeID,month,s0_better,s1_better,s3_better,s7_better,SBS1,SBS2
302,NoReponse,_20-29,Professional,Glasses,former,0-2,southwest,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_1-5,2.0,1.0,302c,3,0,0,0,0,0,0
302,NoReponse,_20-29,Professional,None,former,0-2,southwest,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,2.0,1.0,302c,3,0,0,0,0,0,0
302,Male,_40-49,Technical,Contacts,former,0-2,southwest,shared,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,_0,_0,4.0,3.0,302a,3,0,0,0,0,0,0
302,Male,_20-29,Professional,Glasses,never,0-2,southwest,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,_0,_0,5.0,4.0,302a,3,0,0,0,0,0,0
303,Male,_50-60,Managerial,Glasses,former,0-2,east,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,6.0,5.0,303b,4,0,0,0,0,0,0
303,Female,_30-39,Managerial,None,former,0-2,norhteast,withoutPartitions,>5,>5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,6.0,5.0,303d,4,0,0,0,0,0,0
303,Male,_30-39,Technical,Glasses,former,2-4,west,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,,False,_1-5,_0,4.0,5.0,303c,4,0,0,0,1,1,0
303,Male,_40-49,Technical,,former,0-2,north,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_1-5,_0,4.0,4.0,303b,4,0,0,0,0,0,0
303,Female,_50-60,Administrative,Contacts,never,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_1-5,3.0,1.0,303a,4,0,0,0,0,0,0
303,,_>60,Technical,Glasses,former,2-4,west,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,4.0,303b,4,0,0,0,0,0,0
303,Male,_40-49,,Glasses,never,2-4,north,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,4.0,303d,4,0,0,0,0,0,0
303,Female,_20-29,Administrative,Glasses,never,2-4,north,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,True,,False,_6-10,_0,5.0,3.0,303d,4,0,0,0,1,1,0
303,Male,_>60,,Glasses,never,0-2,west,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,6.0,5.0,303a,4,0,0,0,0,0,0
303,Male,_20-29,Technical,None,never,0-2,west,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,2.0,303c,4,0,0,0,0,0,0
