CO2_mean,T_mean,light_mean,age,noiseOfficeEquipment,noiseTelephones,s3_better,Construction year,Site,smells_outside,talk,noiseExterior
741.3720472440945,24.232480314960583,179.90551181102362,3.0,False,False,0,1972.0,suburban,False,True,False
772.4708171206225,24.702529182879413,322.6459143968872,4.0,False,False,0,1972.0,suburban,False,False,False
772.4708171206225,24.702529182879413,322.6459143968872,3.0,False,False,0,1972.0,suburban,False,False,False
741.3720472440945,24.232480314960583,179.90551181102362,3.0,False,False,0,1972.0,suburban,False,False,False
773.1796296296296,24.8208140610546,191.2710453283996,2.0,False,False,0,1972.0,suburban,False,True,False
700.9924599434496,25.22600370599137,317.86164298949967,3.0,False,False,0,1972.0,suburban,False,False,False
700.9924599434496,25.22600370599137,317.86164298949967,2.0,False,False,0,1972.0,suburban,False,False,False
700.9924599434496,25.22600370599137,317.86164298949967,4.0,False,False,0,1972.0,suburban,False,False,False
625.91280148423,24.966882516188715,206.31822386679,3.0,False,False,0,1972.0,suburban,False,False,False
700.9924599434496,25.22600370599137,317.86164298949967,3.0,False,False,0,1972.0,suburban,False,False,False
700.9924599434496,25.22600370599137,317.86164298949967,2.0,False,True,0,1972.0,suburban,True,True,False
625.91280148423,24.966882516188715,206.31822386679,3.0,False,True,0,1972.0,suburban,False,True,False
625.91280148423,24.966882516188715,206.31822386679,4.0,False,False,0,1972.0,suburban,False,False,False
700.9924599434496,23.99749536178119,365.91005801906334,2.0,False,False,0,1986.0,suburban,False,False,False
772.4708171206225,24.702529182879413,322.6459143968872,4.0,False,False,0,1986.0,suburban,False,False,False
772.4708171206225,24.702529182879413,322.6459143968872,1.0,False,False,1,1986.0,suburban,False,False,False
808.0677808727949,23.45693593314773,663.22191272052,3.0,False,False,0,2009.0,suburban,False,False,False
700.9924599434496,23.26777777777781,412.0923361034164,4.0,False,False,0,1988.0,suburban,False,False,False
685.162932790224,23.80896130346234,304.16293279022403,4.0,False,False,0,1988.0,suburban,False,False,False
652.5328031809145,23.758051689860856,319.713717693837,4.0,False,False,0,1988.0,suburban,False,False,False
618.5601659751037,24.33900414937764,388.96,3.0,False,False,0,1988.0,suburban,True,False,False
652.5328031809145,23.758051689860856,319.713717693837,3.0,False,False,0,1988.0,suburban,False,True,False
652.5328031809145,23.758051689860856,319.713717693837,3.0,False,True,0,1988.0,suburban,False,True,False
685.162932790224,23.80896130346234,304.16293279022403,2.0,False,False,0,1988.0,suburban,False,False,False
888.3686868686868,25.17146464646469,620.2575757575758,0.0,False,False,0,2008.0,suburban,False,False,False
888.3686868686868,25.17146464646469,620.2575757575758,0.0,False,False,0,2008.0,suburban,False,False,False
823.707402010051,24.367587939698485,296.07035175879395,2.0,False,False,0,2008.0,suburban,False,False,False
823.707402010051,24.367587939698485,296.07035175879395,0.0,False,False,0,2008.0,suburban,False,False,False
564.4222222222222,24.32500000000002,134.82962962962964,3.0,False,False,0,2019.0,suburban,False,False,False
606.615238095238,23.78022181146025,398.6395563770795,1.0,False,False,0,2019.0,suburban,True,False,False
609.5822550831793,24.44343807763408,251.2162661737523,1.0,False,True,0,2019.0,suburban,False,True,False
564.4222222222222,24.32500000000002,134.82962962962964,2.0,False,False,0,2019.0,suburban,False,True,False
629.4061224489795,23.82975970425141,184.2181146025878,3.0,False,False,0,2019.0,suburban,False,False,False
564.4222222222222,24.32500000000002,134.82962962962964,4.0,False,False,0,2019.0,suburban,False,False,False
606.615238095238,23.78022181146025,398.6395563770795,2.0,False,False,0,2019.0,suburban,False,False,False
606.615238095238,23.78022181146025,398.6395563770795,0.0,False,True,0,2019.0,suburban,False,True,False
629.4061224489795,23.82975970425141,184.2181146025878,4.0,False,False,0,2019.0,suburban,False,False,False
609.5822550831793,24.44343807763408,251.2162661737523,0.0,False,False,0,2019.0,suburban,False,False,False
609.5822550831793,24.44343807763408,251.2162661737523,1.0,False,False,0,2019.0,suburban,False,False,False
606.615238095238,23.78022181146025,398.6395563770795,3.0,False,False,0,2019.0,suburban,False,False,False
606.615238095238,23.78022181146025,398.6395563770795,0.0,False,False,0,2019.0,suburban,False,False,False
609.5822550831793,24.44343807763408,251.2162661737523,0.0,False,False,0,2019.0,suburban,False,False,False
564.4222222222222,24.32500000000002,134.82962962962964,3.0,False,False,0,2019.0,suburban,False,False,False
606.615238095238,23.78022181146025,398.6395563770795,2.0,False,True,0,2019.0,suburban,False,True,False
629.4061224489795,23.82975970425141,184.2181146025878,0.0,False,False,0,2019.0,suburban,False,False,False
601.35,24.371481481481453,480.162962962963,3.0,False,False,0,2014.0,suburban,False,False,False
684.8589981447125,23.43733826247688,1229.079482439926,0.0,False,False,0,2014.0,suburban,True,True,True
723.56261682243,25.13092592592598,417.7851851851852,3.0,False,False,0,2014.0,suburban,False,False,False
684.8589981447125,23.43733826247688,1229.079482439926,0.0,False,True,0,2014.0,suburban,False,True,False
706.8333333333334,24.30296296296296,803.3,2.0,False,False,0,2014.0,suburban,False,False,False
643.3450834879407,24.518923933209635,572.9647495361781,3.0,False,False,0,2014.0,suburban,False,False,False
684.8589981447125,23.43733826247688,1229.079482439926,4.0,False,False,0,2014.0,suburban,True,True,True
886.1209829867674,25.639444444444475,760.074074074074,0.0,False,False,0,2014.0,suburban,False,False,False
643.3450834879407,24.518923933209635,572.9647495361781,4.0,False,False,0,2014.0,suburban,False,False,False
624.1072088724584,25.947232472324725,509.34317343173433,4.0,False,False,0,2014.0,suburban,False,False,False
706.8333333333334,24.30296296296296,803.3,1.0,False,False,0,2014.0,suburban,False,False,False
